"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX2160406","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883859","","25.02","1","88684","43324388","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160405","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883858","","18.07","1","64918","31735701","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160404","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883857","","20.45","1","75080","36704751","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160403","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883856","","19.49","1","70569","34468209","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160402","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883855","","17.47","1","63345","30963898","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160401","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883854","","23.72","1","86800","42428272","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160400","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883853","","19.3","1","69686","34056901","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160399","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883852","","8.82","1","32004","15629107","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160398","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883851","","21.7","1","81447","39765339","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160397","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883850","","19.25","1","69117","33766610","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160396","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883849","","12.94","1","46728","22829771","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160395","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883848","","18.66","1","69494","33935227","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160394","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883847","","21.5","1","77693","37976047","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160393","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883846","","13.68","1","50479","24653056","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160392","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883845","","19.59","1","72447","35376788","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160391","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883844","","13.58","1","49261","24068415","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160390","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883791","","18.37","1","66181","32325680","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160389","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883790","","23.35","1","83923","40996205","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160388","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883789","","11.02","1","39663","19373335","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160387","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883788","","16.05","1","57314","27994778","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160386","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883787","","12.5","1","45772","22357007","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160385","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883786","","16.21","1","59558","29089963","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160384","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883785","","18.86","1","67776","33106217","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160383","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883784","","11.9","1","42985","20995504","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160382","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883783","","12.62","1","45234","22093651","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160381","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883782","","3.64","1","12724","6216075","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160380","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883781","","10.65","1","37559","18348100","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160379","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883780","","14.45","1","51127","24977957","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160378","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883779","","11.85","1","42259","20644167","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160377","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883778","","14.75","1","52701","25747141","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160376","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883777","","13.34","1","47843","23373035","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160375","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883776","","8.24","1","29060","14198270","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160374","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883775","","19.72","1","70733","34555217","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160373","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883774","","12.36","1","44251","21618038","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160372","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883773","","8.14","1","29452","14392537","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160371","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883772","","6.73","1","24283","11866379","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160370","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883771","","11.97","1","43339","21178856","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160369","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883770","","10.5","1","38070","18603424","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160368","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883769","","13.36","1","48562","23730724","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160367","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883768","","6.56","1","23538","11504356","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160366","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883767","","12.65","1","45797","22383227","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160365","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883766","","7.92","1","28154","13759176","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160364","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883765","","14.1","1","50931","24888795","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160361","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883737","","0.51","1","1569","766983","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160360","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883736","","16.83","1","60293","29465894","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160359","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883735","","16.3","1","58153","28418340","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160358","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883734","","12.85","1","46480","22708226","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160357","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883733","","8.6","1","31338","15311398","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160356","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883732","","15.74","1","57001","27849447","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160355","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883731","","16.27","1","58451","28563252","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160354","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883730","","17.7","1","64143","31346351","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160353","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883729","","16.19","1","58356","28518351","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160352","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883728","","10.66","1","37233","18189328","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160351","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883727","","16.11","1","58545","28600585","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160350","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883726","","13.47","1","49252","24059248","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160349","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883725","","12.73","1","46245","22592252","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160348","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883724","","13.75","1","49832","24343267","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160347","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883723","","11.57","1","41741","20392009","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160346","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883722","","20.98","1","75383","36833787","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160345","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883721","","8.94","1","32098","15683284","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160344","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883720","","12.96","1","46100","22525555","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160343","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883719","","9.84","1","36188","17671547","unspecified","AMPLICON","GENOMIC","PCR"
